,word,c-prescore
0,lormetazepam,-5.0
1,mg,-5.0
2,mirtazapina,-5.0
3,fluoxetina,-5.0
4,alprazolam,-5.0
5,escitalopram,-5.0
6,sycrest,-5.0
7,trazodona,-5.0
8,prolongada,-5.0
9,besitran,-5.0
10,quetiapina,-5.0
11,lexatin,-5.0
12,precisa,-5.0
13,melatonina,-5.0
14,risperdal,-5.0
15,deprax,-5.0
16,lorazepam,-5.0
17,miligramo,-5.0
18,cymbalta,-5.0
19,capsulas,-5.0
20,clorazepato,-5.0
21,diazepam,-5.0
22,paroxetina,-5.0
23,ibuprofeno,-5.0
24,tomé,-5.0
25,pristiq,-5.0
26,dosis,-5.0
27,zolpidem,-5.0
28,orfidal,-5.0
29,pastilla,-5.0
30,liryca,-5.0
31,rubifen,-5.0
32,marginada,-5.0
33,suicidarme,-5.0
34,lastimarme,-5.0
35,harto,-5.0
36,morir,-5.0
37,muertes,-5.0
38,autoinmune,-4.0
39,cápsulas,-4.0
40,antihipertensivos,-4.0
41,moleste,-4.0
42,molestia,-4.0
43,agotamiento,-4.0
44,esclerosis,-4.0
45,tendón,-4.0
46,fallándome,-4.0
47,aguantando,-4.0
48,enojo,-4.0
49,dejaré,-4.0
50,abandonar,-4.0
51,frustra,-4.0
52,manipulaciones,-4.0
53,odiar,-4.0
54,arrepentirme,-4.0
55,despidiéndose,-4.0
56,odia,-4.0
57,insultan,-4.0
58,azotea,-4.0
59,echan,-4.0
60,rota,-4.0
61,zorra,-4.0
62,distanciado,-4.0
63,indiferencia,-4.0
64,desistimiento,-4.0
65,insulta,-4.0
66,errores,-4.0
67,verdulera,-4.0
68,déspota,-4.0
69,desastre,-4.0
70,intolerancia,-4.0
71,gritarnos,-4.0
72,machacada,-4.0
73,plasta,-4.0
74,afectada,-4.0
75,obtuso,-4.0
76,nietzsche,-4.0
77,sangrados,-4.0
78,betabloqueantes,-4.0
79,candidiasis,-4.0
80,noctamid,-4.0
81,preparados,-4.0
82,paliativa,-4.0
83,bisoprol,-4.0
84,dolorosas,-4.0
85,acongojado,-4.0
86,planificando,-4.0
87,sarna,-4.0
88,alboroto,-4.0
89,burlan,-4.0
90,castigaran,-4.0
91,bebí,-4.0
92,culpo,-4.0
93,acúfenos,-4.0
94,sometido,-4.0
95,detonante,-4.0
96,incomprendido,-4.0
97,contagian,-4.0
98,bomba,-4.0
99,infiel,-4.0
100,pésimo,-4.0
101,brota,-4.0
102,alterado,-4.0
103,agobiados,-4.0
104,fatigado,-4.0
105,agotado,-4.0
106,apático,-4.0
107,cansado,-4.0
108,calumnias,-4.0
109,desgastadas,-4.0
110,engañada,-4.0
111,herida,-4.0
112,sinvergüenza,-4.0
113,locas,-4.0
114,destrozan,-4.0
115,exigirme,-4.0
116,pisotear,-4.0
117,suplicio,-4.0
118,desconfío,-4.0
119,somnolienta,-4.0
120,martirio,-4.0
121,golpes,-4.0
122,moratones,-4.0
123,encabrono,-4.0
124,agobiarle,-3.0
125,sopor,-3.0
126,espasmos,-3.0
127,temblores,-3.0
128,despiertan,-3.0
129,tenazas,-3.0
130,olvidar,-3.0
131,aleje,-3.0
132,enfrentar,-3.0
133,termine,-3.0
134,cargando,-3.0
135,parió,-3.0
136,aleja,-3.0
137,pisa,-3.0
138,cúmulo,-3.0
139,grita,-3.0
140,soportarla,-3.0
141,muerde,-3.0
142,bañera,-3.0
143,subvención,-3.0
144,mioma,-3.0
145,esteatosis,-3.0
146,reservorios,-3.0
147,desconectaron,-3.0
148,caros,-3.0
149,repentino,-3.0
