,Positiva o Negativa,pos-neg
bien,Positiva,1
nerviosa,Negativa,-1
mal,Negativa,-1
contenta,Positiva,1
difícil,Negativa,-1
tranquila,Positiva,1
capaz,Positiva,1
inútil,Negativa,-1
triste,Negativa,-1
sola,Negativa,-1
pasado,Negativa,-1
día,Positiva,1
vida,Positiva,1
incapaz,Negativa,-1
mejor,Positiva,1
tranquilo,Positiva,1
peor,Negativa,-1
noche,Negativa,-1
relajado,Positiva,1
alegre,Positiva,1
cansado,Negativa,-1
cansada,Negativa,-1
vivir,Positiva,1
morir,Negativa,-1
negativo,Negativa,-1
nervioso,Negativa,-1
positivo,Positiva,1
fin,Negativa,-1
dormido,Positiva,-1
mala,Negativa,-1
descansado,Positiva,1
tenso,Negativa,-1
bueno,Positiva,1
tensa,Negativa,-1
malestar,Negativa,-1
dormida,Positiva,-1
despierto,Negativa,-1
atrás,Negativa,-1
bienestar,Positiva,1
durmiendo,Positiva,-1
relajada,Positiva,1
futuro,Positiva,1
buena,Positiva,1
útil,Positiva,1
malo,Negativa,-1
adelante,Positiva,1
duro,Negativa,-1
fácil,Positiva,1
principio,Positiva,1
peores,Negativa,-1
mejorar,Positiva,1
mejores,Positiva,1
despierta,Negativa,-1
empeorar,Negativa,-1
muerte,Negativa,-1
acompañada,Positiva,1
descansada,Positiva,1
